State,STUSPS,Total_2023_Pilots,Total_2023_Student_Pilot_Cert,Total_2023_Private_Pilot_Cert,Total_2023_Commcercial_Pilot_Cert,Total_2023_Airline_Transport_Pilot_Cert,Total_2023_Flight_Instructor_Cert,2023_Male_Pilots,2023_Male_Student_Pilot_Cert,2023_Male_Private_Pilot_Cert,2023_Male_Commcercial_Pilot_Cert,2023_Male_Airline_Transport_Pilot_Cert,2023_Male_Flight_Instructor_Cert,2023_Women_Total_Pilots,2023_Women_Student_Pilot,2023_Women_Private_Pilot,2023_Women_Commercial_Pilot,2023_Women_Airline_Transport_Pilot,2023_Women_Flight_Instructor,Total_2022_Pilots,Total_2022_Student_Pilot_Cert,Total_2022_Private_Pilot_Cert,Total_2022_Commcercial_Pilot_Cert,Total_2022_Airline_Transport_Pilot_Cert,Total_2022_Flight_Instructor_Cert,2022_Male_Pilots,2022_Male_Student_Pilot_Cert,2022_Male_Private_Pilot_Cert,2022_Male_Commcercial_Pilot_Cert,2022_Male_Airline_Transport_Pilot_Cert,2022_Male_Flight_Instructor_Cert,2022_Women_Total_Pilots,2022_Women_Student_Pilot,2022_Women_Private_Pilot,2022_Women_Commercial_Pilot,2022_Women_Airline_Transport_Pilot,2022_Women_Flight_Instructor,Total_2021_Pilots,Total_2021_Student_Pilot_Cert,Total_2021_Private_Pilot_Cert,Total_2021_Commcercial_Pilot_Cert,Total_2021_Airline_Transport_Pilot_Cert,Total_2021_Flight_Instructor_Cert,2021_Male_Pilots,2021_Male_Student_Pilot_Cert,2021_Male_Private_Pilot_Cert,2021_Male_Commcercial_Pilot_Cert,2021_Male_Airline_Transport_Pilot_Cert,2021_Male_Flight_Instructor_Cert,2021_Women_Total_Pilots,2021_Women_Student_Pilot,2021_Women_Private_Pilot,2021_Women_Commercial_Pilot,2021_Women_Airline_Transport_Pilot,2021_Women_Flight_Instructor,Total_2020_Pilots,Total_2020_Student_Pilot_Cert,Total_2020_Private_Pilot_Cert,Total_2020_Commcercial_Pilot_Cert,Total_2020_Airline_Transport_Pilot_Cert,Total_2020_Flight_Instructor_Cert,2020_Male_Pilots,2020_Male_Student_Pilot_Cert,2020_Male_Private_Pilot_Cert,2020_Male_Commcercial_Pilot_Cert,2020_Male_Airline_Transport_Pilot_Cert,2020_Male_Flight_Instructor_Cert,2020_Women_Total_Pilots,2020_Women_Student_Pilot,2020_Women_Private_Pilot,2020_Women_Commercial_Pilot,2020_Women_Airline_Transport_Pilot,2020_Women_Flight_Instructor,Total_2019_Pilots,Total_2019_Student_Pilot_Cert,Total_2019_Private_Pilot_Cert,Total_2019_Commcercial_Pilot_Cert,Total_2019_Airline_Transport_Pilot_Cert,Total_2019_Flight_Instructor_Cert,2019_Male_Pilots,2019_Male_Student_Pilot_Cert,2019_Male_Private_Pilot_Cert,2019_Male_Commcercial_Pilot_Cert,2019_Male_Airline_Transport_Pilot_Cert,2019_Male_Flight_Instructor_Cert,2019_Women_Total_Pilots,2019_Women_Student_Pilot,2019_Women_Private_Pilot,2019_Women_Commercial_Pilot,2019_Women_Airline_Transport_Pilot,2019_Women_Flight_Instructor,Total_2018_Pilots,Total_2018_Student_Pilot_Cert,Total_2018_Private_Pilot_Cert,Total_2018_Commcercial_Pilot_Cert,Total_2018_Airline_Transport_Pilot_Cert,Total_2018_Flight_Instructor_Cert,2018_Male_Pilots,2018_Male_Student_Pilot_Cert,2018_Male_Private_Pilot_Cert,2018_Male_Commcercial_Pilot_Cert,2018_Male_Airline_Transport_Pilot_Cert,2018_Male_Flight_Instructor_Cert,2018_Women_Total_Pilots,2018_Women_Student_Pilot,2018_Women_Private_Pilot,2018_Women_Commercial_Pilot,2018_Women_Airline_Transport_Pilot,2018_Women_Flight_Instructor
Alabama,AL,9934,3111,2619,1774,2430,1636,8564,2395,2309,1606,2254,1456,1370,716,310,168,176,180,9396,2706,2617,1741,2332,1609,8166,2082,2333,1588,2163,1438,1230,624,284,153,169,171,9096,2465,2667,1686,2278,1565,7996,1940,2390,1547,2119,1419,1100,525,277,139,159,146,8738,2239,2575,1666,2258,1511,7729,1780,2315,1532,2102,1380,1009,459,260,134,156,131,8526,1986,2589,1679,2272,1464,7596,1578,2338,1562,2118,1339,930,408,251,117,154,125,8243,1748,2612,1635,2248,1449,7399,1381,2387,1530,2101,1321,844,367,225,105,147,128
Alaska,AK,6366,2573,1963,985,845,927,5824,2232,1851,927,814,871,542,341,112,58,31,56,9455,3682,2197,1986,1590,1734,8673,3170,2060,1899,1544,1660,782,512,137,87,46,74,8884,3241,2159,1957,1527,1732,8210,2809,2037,1875,1489,1661,674,432,122,82,38,71,8477,2863,2100,1966,1548,1728,7894,2506,1986,1891,1511,1669,583,357,114,75,37,59,7989,2417,2068,1959,1545,1670,7484,2118,1967,1888,1511,1611,505,299,101,71,34,59,7624,2004,2092,1998,1530,1634,7207,1773,2007,1932,1495,1587,417,231,85,66,35,47
Arizona,AZ,8501,3249,2476,1339,1437,1427,7743,2758,2327,1272,1386,1339,758,491,149,67,51,88,26116,9216,5345,5495,6060,5147,23638,7929,4878,5072,5759,4674,2478,1287,467,423,301,473,25032,7955,5217,5793,6067,4996,22877,6869,4835,5398,5775,4577,2155,1086,382,395,292,419,23982,6826,5423,5771,5962,4796,22072,5943,4997,5451,5681,4415,1910,883,426,320,281,381,22605,6282,5279,5086,5958,4510,20934,5517,4925,4807,5685,4162,1671,765,354,279,273,348,20338,5008,5066,4437,5827,4197,18900,4400,4738,4187,5575,3880,1438,608,328,250,252,317
Arkansas,AR,8599,3395,1829,1091,2284,1433,7784,2896,1694,1016,2178,1335,815,499,135,75,106,98,6778,2920,1714,1132,1012,879,6232,2535,1614,1096,987,837,546,385,100,36,25,42,6436,2617,1710,1115,994,895,5937,2272,1619,1078,968,853,499,345,91,37,26,42,6063,2289,1725,1076,973,854,5639,2004,1635,1051,949,816,424,285,90,25,24,38,5690,1977,1660,1076,977,826,5326,1747,1581,1046,952,794,364,230,79,30,25,32,5357,1625,1653,1097,982,796,5051,1448,1580,1069,954,764,306,177,73,28,28,32
California,CA,12422,5242,3138,1873,2169,1888,11177,4433,2916,1733,2095,1757,1245,809,222,140,74,131,71222,28278,19887,10963,12094,10476,63549,23764,18373,10053,11359,9439,7673,4514,1514,910,735,1037,68291,25562,19641,11077,12011,10353,61221,21488,18218,10199,11316,9365,7070,4074,1423,878,695,988,65982,22911,19739,11099,12233,10181,59513,19365,18352,10265,11531,9254,6469,3546,1387,834,702,927,63782,20449,20019,10753,12561,10001,57883,17366,18679,10003,11835,9140,5899,3083,1340,750,726,861,61261,17395,20524,10685,12657,9764,55924,14854,19179,9943,11948,8942,5337,2541,1345,742,709,822
Colorado,CO,4597,1946,1241,713,697,659,4201,1669,1176,675,681,615,396,277,65,38,16,44,22984,7360,5172,3467,6985,4611,20386,6053,4709,3147,6477,4148,2598,1307,463,320,508,463,21840,6669,4946,3342,6883,4405,19480,5522,4529,3025,6404,3978,2360,1147,417,317,479,427,20821,5926,4791,3231,6873,4219,18679,4928,4404,2937,6410,3828,2142,998,387,294,463,391,19801,5222,4612,3136,6831,4072,17862,4357,4254,2878,6373,3727,1939,865,358,258,458,345,18741,4359,4689,3114,6579,3936,17042,3651,4356,2889,6146,3614,1699,708,333,225,433,322
Connecticut,CT,18953,7202,3887,2772,5092,3392,17117,6071,3599,2585,4862,3151,1836,1131,288,187,230,241,5343,1844,1409,762,1328,917,4893,1586,1321,721,1265,844,450,258,88,41,63,73,5094,1664,1395,737,1298,882,4687,1438,1319,692,1238,812,407,226,76,45,60,70,4915,1456,1401,729,1329,860,4550,1262,1326,687,1275,798,365,194,75,42,54,62,4818,1271,1453,739,1355,859,4475,1102,1376,697,1300,792,343,169,77,42,55,67,4840,1107,1579,742,1412,878,4534,968,1502,701,1363,812,306,139,77,41,49,66
Delaware,DE,5650,2064,1469,775,1342,930,5134,1767,1366,725,1276,860,516,297,103,50,66,70,1620,620,334,217,449,294,1466,528,312,201,425,271,154,92,22,16,24,23,1538,556,330,215,437,277,1399,472,309,203,415,256,139,84,21,12,22,21,1480,485,342,213,440,280,1348,406,320,202,420,260,132,79,22,11,20,20,1457,434,348,221,454,278,1332,362,328,210,432,260,125,72,20,11,22,18,1385,365,368,223,429,272,1279,304,349,216,410,259,106,61,19,7,19,13
District_of_Columbia,DC,1731,706,334,222,469,308,1563,604,306,210,443,285,168,102,28,12,26,23,786,339,211,83,153,111,693,273,197,76,147,102,93,66,14,7,6,9,732,298,208,85,141,103,651,240,194,81,136,96,81,58,14,4,5,7,681,271,194,76,140,108,608,217,185,72,134,98,73,54,9,4,6,10,651,244,195,71,141,106,579,193,186,66,134,94,72,51,9,5,7,12,640,214,209,85,132,109,573,175,194,77,127,98,67,39,15,8,5,11
Florida,FL,869,382,226,90,171,124,760,304,212,78,166,112,109,78,14,12,5,12,78764,29293,14665,12847,21959,13885,70920,24738,13469,11750,20963,12734,7844,4555,1196,1097,996,1151,74935,26531,14388,12841,21175,13299,67881,22539,13264,11819,20259,12251,7054,3992,1124,1022,916,1048,71895,24357,14401,12565,20572,12710,65454,20745,13338,11650,19721,11758,6441,3612,1063,915,851,952,68325,22225,14186,11691,20223,11943,62607,19096,13210,10889,19412,11071,5718,3129,976,802,811,872,62870,18730,13774,10942,19424,10951,58066,16242,12848,10303,18673,10216,4804,2488,926,639,751,735
